n,numerical_energy,analytic_energy,absolute_error,relative_error_percent
0,0.499991983847,0.5,8.01615251184e-06,0.00160323050237
1,1.49995991872,1.5,4.00812768004e-05,0.00267208512003
2,2.49989578719,2.5,0.000104212810799,0.00416851243195
3,3.4997995877,3.5,0.000200412297164,0.00572606563327
4,4.49967131872,4.5,0.000328681278774,0.00730402841721
5,5.4995109787,5.5,0.000489021298786,0.00889129634156
