N,M,dx,stored_nonzeros,sparse_megabytes,dense_megabytes,solve_seconds,energy_0,energy_1,energy_2,energy_3,energy_4,energy_5,absolute_error_0,absolute_error_1,absolute_error_2,absolute_error_3,absolute_error_4,absolute_error_5
200,198,0.0804020100503,592,0.0079,0.313632,0.00171610014513,0.49979790318,1.49898918843,2.49737093874,3.4949421667,4.49170188088,5.48764908576,0.000202096819939,0.00101081157318,0.00262906125924,0.00505783329568,0.00829811912408,0.0123509142372
400,398,0.0401002506266,1192,0.0159,1.267232,0.00164949987084,0.499949744008,1.49974869982,2.49934656088,3.49874326647,4.49793875579,5.49693296801,5.02559924848e-05,0.000251300178863,0.000653439115756,0.00125673352899,0.00206124420551,0.00306703199359
800,798,0.0200250312891,2392,0.0319,5.094432,0.00235800002702,0.499987468377,1.49993734063,2.49983708199,3.4996866887,4.49948615697,5.49923548303,1.25316227862e-05,6.26593704016e-05,0.000162918007273,0.000313311304116,0.000513843032548,0.00076451696517
1600,1598,0.0100062539087,4792,0.0639,20.428832,0.00376820005476,0.499996871071,1.49998435527,2.49995932349,3.49992177547,4.49987171099,5.49980912982,3.12892945492e-06,1.56447257575e-05,4.06765141885e-05,7.82245297666e-05,0.000128289007404,0.000190870182209
3200,3198,0.00500156298843,9592,0.1279,81.817632,0.00609569996595,0.49999921826,1.4999960913,2.49998983736,3.49998045643,4.49996794849,5.49995231353,7.81739719735e-07,3.9087035999e-06,1.01626433673e-05,1.95435738357e-05,3.20515097716e-05,4.76864657557e-05
6400,6398,0.00250039068604,19192,0.2559,327.475232,0.012529999949,0.499999804627,1.49999902313,2.49999746014,3.49999511565,4.49999198967,5.49998808219,1.9537333934e-07,9.76868102409e-07,2.53985837739e-06,4.88434541435e-06,8.01032976483e-06,1.19178121807e-05
