L,N,M,dx,solve_seconds,max_absolute_energy_error,max_change_from_largest_box,max_near_boundary_amplitude,energy_0,energy_1,energy_2,energy_3,energy_4,energy_5,absolute_error_0,absolute_error_1,absolute_error_2,absolute_error_3,absolute_error_4,absolute_error_5,change_from_largest_box_0,change_from_largest_box_1,change_from_largest_box_2,change_from_largest_box_3,change_from_largest_box_4,change_from_largest_box_5,near_boundary_amplitude_0,near_boundary_amplitude_1,near_boundary_amplitude_2,near_boundary_amplitude_3,near_boundary_amplitude_4,near_boundary_amplitude_5
2.5,251,249,0.02,0.00137499999255,2.65003912867,2.65080173527,0.0438334315406,0.504942353158,1.55135222248,2.73643968435,4.18355897517,5.97669405358,8.15003912867,0.00494235315795,0.0513522224815,0.236439684351,0.683558975169,1.47669405358,2.65003912867,0.00495485347047,0.0514147252943,0.236602195291,0.683871503613,1.47720661266,2.65080173527,0.00300140251445,0.00875045700635,0.0168950571266,0.0259973297974,0.0350621948105,0.0438334315406
3,301,299,0.02,0.00131179997697,0.971641298587,0.972403905187,0.0296238483023,0.500378751226,1.50601910843,2.54095185645,3.66381435238,4.95331799257,6.47164129859,0.000378751226369,0.00601910842848,0.0409518564498,0.16381435238,0.453317992569,0.971641298587,0.000391251538886,0.0060816112413,0.0411143673892,0.164126880824,0.453830551649,0.972403905187,0.000937736191006,0.00343439881126,0.00815828586075,0.0147454202487,0.0221793807579,0.0296238483023
3.5,351,349,0.02,0.00183119997382,0.257661750217,0.258424356817,0.0179755221837,0.500005561207,1.50033715544,2.50380689647,3.52297741703,4.59048685306,5.75766175022,5.56120654305e-06,0.000337155441767,0.00380689646652,0.0229774170298,0.090486853061,0.257661750217,1.80615190603e-05,0.000399658254587,0.00396940740592,0.0232899454739,0.0909994121407,0.258424356817,0.000219809403619,0.000982865374588,0.00290756348256,0.0065124269637,0.0117525759187,0.0179755221837
4,401,399,0.02,0.0019811000675,0.0386139985286,0.0393766051288,0.00838903505571,0.499987991386,1.49995211397,2.50003872118,3.50137846116,4.50912076961,5.53861399853,1.20086142173e-05,4.78860331532e-05,3.8721180736e-05,0.00137846116499,0.00912076961177,0.0386139985286,4.91698299909e-07,1.46167796666e-05,0.000201232120136,0.00169098960909,0.00963332869154,0.0393766051288,3.90088030035e-05,0.000205062819416,0.000728762104196,0.00200469484621,0.00448540046664,0.00838903505571
5,501,499,0.02,0.0019473999273,0.000663954175164,9.865242499e-05,0.000542304314891,0.499987499765,1.49993750087,2.49983757326,3.49968869441,4.49950008057,5.49933604582,1.2500235425e-05,6.24991289442e-05,0.000162426735581,0.000311305586265,0.000499919433357,0.000663954175164,7.70922214954e-11,3.68387564897e-09,8.42038194726e-08,1.22285783766e-06,1.26396464184e-05,9.865242499e-05,5.49719994055e-07,3.71818623132e-06,1.73536200049e-05,6.43897904455e-05,0.000200892443289,0.000542304314891
6,601,599,0.02,0.00308130006306,0.000762590835811,1.57643427201e-08,7.94171868914e-06,0.499987499687,1.49993749719,2.49983748906,3.49968747164,4.4994874422,5.49923740916,1.25003125157e-05,6.25028127097e-05,0.000162510935694,0.000312528363235,0.00051255779539,0.000762590835811,1.55431223448e-15,1.10134124043e-13,3.7059244562e-12,8.08673128461e-11,1.28438504277e-09,1.57643427201e-08,2.72200243656e-09,2.24046578306e-08,1.28353379272e-07,5.90464783919e-07,2.31128330922e-06,7.94171868914e-06
7,701,699,0.02,0.00242339982651,0.000762606599935,2.19380069666e-13,3.3250562905e-08,0.499987499687,1.49993749719,2.49983748906,3.49968747156,4.49948744092,5.4992373934,1.25003125172e-05,6.25028128207e-05,0.000162510939398,0.000312528444108,0.00051255907977,0.000762606599935,0,8.881784197e-16,1.7763568394e-15,5.3290705182e-15,5.3290705182e-15,2.19380069666e-13,4.81608127265e-12,4.66128713173e-11,3.1546590292e-10,1.72315752996e-09,8.05390033626e-09,3.3250562905e-08
8,801,799,0.02,0.00429009995423,0.000762606600154,0,4.36820122567e-11,0.499987499687,1.49993749719,2.49983748906,3.49968747156,4.49948744092,5.4992373934,1.25003125172e-05,6.25028128198e-05,0.0001625109394,0.000312528444102,0.000512559079775,0.000762606600154,0,0,0,0,0,0,3.07605912741e-15,3.41673120371e-14,2.66287945946e-13,1.68004831696e-12,9.09925304003e-12,4.36820122567e-11
