n,fitted_order,coarsest_error,finest_error,error_reduction_factor
0,2.00009651155,0.000202096819939,1.9537333934e-07,1034.41350095
1,2.00017334252,0.00101081157318,9.76868102409e-07,1034.74724037
2,2.00025936423,0.00262906125924,2.53985837739e-06,1035.12120307
3,2.00035085543,0.00505783329568,4.88434541435e-06,1035.51916718
4,2.00044462484,0.00829811912408,8.01032976483e-06,1035.92727986
5,2.00053956762,0.0123509142372,1.19178121807e-05,1036.34073519
